Final Stats
Block,orgTotal,startOrg,orgAlive,endTurn,forcedReproductionEvents,unableToActTurns,starveDeath,woundDeath,fightDeath,cullDeath,reproductionDeath,foodHarvest,foodReap,foodConsumed,foodShared,foodStolen,replenishedAmount,asexualReproductionEvents,sexualReproductionEvents,shareEvents,theftEvents,fightEvents,harvestEvents,reapEvents,consumeEvents,replenishEvents,wanderMoves,moveMoves,huntMoves,
Final,380.0,200.0,44.0,999.0,2.0,0.0,62.0,18.0,242.0,14.0,0.0,15752.0,743.0,10525.0,1110.0,1211.0,71643.0,140.0,0.0,43.0,110.0,242.0,136051.0,83.0,1152.0,143.0,19400.0,529.0,0.0,
0,200.0,200.0,34.0,499.0,1.0,0.0,48.0,15.0,103.0,0.0,0.0,8311.0,485.0,5865.0,157.0,379.0,0.0,0.0,0.0,12.0,47.0,103.0,63871.0,43.0,676.0,0.0,10311.0,282.0,0.0,
1,380.0,200.0,44.0,999.0,2.0,0.0,14.0,3.0,139.0,14.0,0.0,7441.0,258.0,4660.0,953.0,832.0,71643.0,140.0,0.0,31.0,63.0,139.0,72180.0,40.0,476.0,143.0,9089.0,247.0,0.0,

number,name,age,generation,cycle,birthTurn,deathTurn,deathReason,parents,gene_Osteo_Pathway_Multiplier,gene_Osteo_Length_ECM,gene_Osteo_Width_ECM,gene_Osteo_Morphogenetic_Protein1,gene_Osteo_Morphogenetic_Protein2,gene_Osteo_Morphogenetic_Protein3,gene_Myo_Pathway_Multiplier,gene_Myo_Fast_Twitch_ECM,gene_Myo_Slow_Twitch_ECM,gene_Myo_Morphogenetic_Protein1,gene_Myo_Morphogenetic_Protein2,gene_Myo_Morphogenetic_Protein3,gene_Neuro_Pathway_Multiplier,gene_Neuro_3d_ECM,gene_Neuro_Morphogenetic_Protein_SensoryResolution,gene_Neuro_Morphogenetic_Protein_Hostile,gene_Neuro_Morphogenetic_Protein_Neutral,gene_Neuro_Morphogenetic_Protein_SelfProjectionPotential,gene_Neuro_Morphogenetic_Protein_MoodNegative,gene_Neuro_Morphogenetic_Protein_MoodPositive,gene_Neuro_Morphogenetic_Protein_Fight,gene_Neuro_Morphogenetic_Protein_Flight,weight,limbLength,boneDiameter,limbStructuralStrength,osteocyteGenesisEfficiency,muscleMass,muscleProteinSynthesis,myocyteGenesisEfficiency,muscleSpeed,muscleEndurance,muscleStrength,neuralMass,perceptionRadius,hostility,moodPositive,fightResponse,colonialCognitionCapacity,neurocyteGenesisEfficiency,eyeSize,cranialSize,facialLength,facialWidth,generalPhenotype,agreeability,speedOfLocomotion,fightingEffectiveness,resourceCarryingCapacity,crit,dodge,maxHp,
1,Tyrion1,145,0,d,0,145,Starvation,Simulator,0.6438725711009609,0.6377342779076073,0.3622657220923927,0.2828947217593131,0.8843903676846087,0.31318909071804746,0.8332186952103089,0.1737348681586912,0.8262651318413088,0.37855911221488037,0.9763478696746678,0.6281531311947182,0.3648795005212421,0.6260883495056404,0.8937072195637392,0.9561491491941554,0.04385085080584461,0.965946332192399,0.7624856488275966,0.23751435117240338,0.2675209951511667,0.7324790048488333,0.5532590664545982,0.6377342779076073,0.3622657220923927,1.7604046947200782,0.5536438644727782,0.6281531311947182,0.6281531311947182,5.589553052457115,0.27658043800284104,0.7602277982924454,0.43779622476604246,0.6260883495056404,0.7598977845346898,0.679658699505438,0.4318013503390219,0.44572483486718734,0.7960173408490197,0.040542166724582454,0.7779575626918547,0.1990043352122549,0.15943356947690182,0.44010117368001955,4.0,0.320341300494562,0.4358973659920823,0.6278818937460431,0.6318441787933136,0.4695662621292303,0.4471203313711316,2.0612463612181586,
2,Eddard2,12,0,gd,0,12,Fight,Simulator,0.4318550608625985,0.03463273614966078,0.9653672638503392,0.8356469470157625,0.060121462733695674,0.9670906274959162,0.46519409253319033,0.48405741756219356,0.5159425824378064,0.9864913421478243,0.4370953670777644,0.5759603852403653,0.9699938521830878,0.1840383109130853,0.6144098875745447,0.8025243133894047,0.19747568661059534,0.005811353065516722,0.45439366849167306,0.5456063315083269,0.12245320165391127,0.8775467983460887,0.5538981043549315,0.03463273614966078,0.9653672638503392,0.03587519221599573,0.5453138317941143,0.5759603852403653,0.5759603852403653,4.206208296546528,0.8404352625053928,0.5359485167053261,0.7389396805720372,0.1840383109130853,0.399224099243815,0.5642294954702695,0.3648223212107061,0.36107839439184647,0.09492483198930102,0.10777709468700974,0.24707446561655802,0.023731207997325254,0.008658184037415195,0.008968798053998932,1.0,0.43577050452973054,0.6332936803582828,0.6289218496366135,0.5641893235154333,0.13802873318481398,0.4682053646337932,1.6197664076758842,
3,Caitlyn3,119,0,gd,0,119,Fight,Simulator,0.5155187681007942,0.6369537007020325,0.3630462992979675,0.2511475264492985,0.49318531663152243,0.2726222546755507,0.1596633056922907,0.3429917311631894,0.6570082688368106,0.6741586093573527,0.7395506284824644,0.7113381440507112,0.34803835904609126,0.6023261215110933,0.21591088102526157,0.36445804952902827,0.6355419504709717,0.08983806751051993,0.4251180649430011,0.5748819350569989,0.41759423624880454,0.5824057637511955,0.5856266932801706,0.6369537007020325,0.3630462992979675,1.7544696142991325,0.4095985267915919,0.7113381440507112,0.7113381440507112,3.794623747190803,0.4821781792974363,0.6751182272414441,0.5464915286121056,0.6023261215110933,0.40911850126817745,0.44739402861800737,0.5886040282840461,0.4234946182078926,0.3460820945108066,0.03867092878289903,0.377600297889492,0.08652052362770166,0.15923842517550812,0.4386174035747831,2.0,0.5526059713819926,0.5673926948435226,0.7415694398185287,0.6248753798726472,0.45174459113332,0.5288433269401217,1.414297734255098,
4,Bran4,12,0,gd,0,12,Fight,Simulator,0.30617915828236486,0.11780540806207129,0.8821945919379287,0.6664522169529179,0.5193408042979075,0.9860866124211725,0.014207967250803644,0.3086235446853971,0.6913764553146029,0.8826806516760015,0.39999096856777483,0.057154568740904965,0.8496208051434591,0.5539843863477754,0.27618802709834833,0.18282759221609435,0.8171724077839057,0.7739079188755057,0.9415600515963577,0.058439948403642306,0.6416561756507417,0.35834382434925827,0.37252038350120265,0.11780540806207129,0.8821945919379287,0.13353676064062756,0.5568475900473455,0.057154568740904965,0.057154568740904965,4.323744370671111,5.399805325877969,0.4799691597900369,3.7598599371819916,0.5539843863477754,0.41508620672306185,0.5310969109531131,0.30621216737570883,0.627049273719722,0.6639461526116406,0.09440231168260656,0.5395161796673512,0.16598653815291015,0.029451352015517823,0.03338419016015689,3.0,0.46890308904688693,3.6370710181732355,3.300214272193179,1.6397327377754782,0.4154882897608315,2.563210108702434,1.6583314241336877,
5,Rickard5,25,0,gd,0,25,Fight,Simulator,0.7802927422629412,0.47202342880878034,0.5279765711912197,0.7606546543525461,0.20776846993865183,0.13414786335440376,0.23879485989812033,0.7778313208112094,0.22216867918879057,0.6701741042121852,0.6545674378791638,0.9752094366692069,0.9288120919038201,0.2285273249016767,0.41910550125104995,0.879144011115211,0.12085598888478899,0.2547170475049423,0.2383192976642753,0.7616807023357247,0.32742766829521075,0.6725723317047893,0.668876029442931,0.47202342880878034,0.5279765711912197,0.8940234369563067,0.5326312944342968,0.9752094366692069,0.9752094366692069,4.229330688467352,0.7976043827753191,0.47318226501559596,0.6894636768554113,0.2285273249016767,0.32381641307636333,0.5293658271948716,0.4951040136187007,0.42227928754164806,0.2416221862033095,0.1032013435448689,0.28271929963983644,0.060405546550827374,0.11800585720219509,0.22350585923907668,2.0,0.4706341728051284,0.7235907297975431,0.761307689855245,0.551724702393091,0.17139549367625753,0.5395256510904479,1.621721108815506,
6,Melisandra6,22,0,gd,0,22,Fight,Simulator,0.59532209163946,0.3300420699251706,0.6699579300748294,0.5623432501017611,0.5014023236166122,0.09370257593431053,0.060704308644053295,0.7474158644518418,0.2525841355481582,0.27033342796375137,0.1889513372532594,0.36356789324037686,0.43073969663703127,0.98951438898,0.8953546095217898,0.6142426181092621,0.38575738189073794,0.1102121167858372,0.015658963024479222,0.9843410369755208,0.41880005419618593,0.5811999458038141,0.5357394283965656,0.3300420699251706,0.6699579300748294,0.4926310371284169,0.4696184665863208,0.36356789324037686,0.36356789324037686,4.194418981456726,2.055780717571999,0.2895787214455644,1.4670467188631875,0.98951438898,0.9424344992508948,0.4074753952834353,0.9869277129777604,0.3145369476745117,0.5498632528829186,0.04785996629300347,0.7461488760669067,0.13746581322072965,0.08251051748129265,0.12315775928210422,3.0,0.5925246047165647,1.4926040778546479,1.3933139168699706,0.7214273885501188,0.742135791735,1.2424479824814318,1.5706324714453501,
7,Myrcella7,8,0,gd,0,8,Fight,Simulator,0.5891013350447938,0.1436373213049782,0.8563626786950218,0.1046915656602968,0.39396062789533814,0.31820868712384875,0.03357986163697313,0.9022302358868299,0.09776976411317007,0.021778357934734482,0.5542298306170307,0.05163426592616771,0.9490080090105036,0.9641181411179147,0.5484124349139047,0.9643451566751509,0.03565484332484914,0.5230295682209213,0.7352623177484466,0.26473768225155336,0.07235223954751069,0.9276477604524893,0.4250548025130628,0.1436373213049782,0.8563626786950218,0.16772954366000814,0.39901271015381423,0.05163426592616771,0.05163426592616771,4.210402438685202,17.47347850702355,0.08239126471750262,11.676449426254868,0.9641181411179147,0.7562652880159098,0.6749018686058994,0.614427911684734,0.3012946090040467,0.7435738546694179,0.1054453343345004,0.7499195713426638,0.18589346366735449,0.03590933032624455,0.041932385915002035,3.0,0.3250981313941006,11.558888678308074,10.367815637392745,4.303980237693588,0.723088605838436,7.946955320818195,1.5716201610578386,
8,Arya8,18,0,gd,0,18,Starvation,Simulator,0.8917597747221521,0.1831843441829002,0.8168156558170998,0.5742875237751061,0.5149072253503706,0.5432042470909303,0.48127854963482875,0.790573848596099,0.20942615140390097,0.779486983188725,0.43499463525960846,0.13335462304355783,0.8911907334707524,0.9885385492565577,0.2049599876376782,0.8244120711963501,0.17558792880364993,0.15567652550317135,0.9008890362834747,0.09911096371652528,0.5985574911677947,0.40144250883220534,0.45791686774347584,0.1831843441829002,0.8168156558170998,0.22426644601914753,0.6831837091321422,0.13335462304355783,0.13335462304355783,3.822715181293159,5.928357266908344,0.1840689752837866,4.013594503033492,0.9885385492565577,0.596749268447118,0.6813252768699563,0.5438247564865415,0.583653875679751,0.5721075373798645,0.09902119260786138,0.5844284029134912,0.14302688434496613,0.04579608604572505,0.05606661150478688,3.0,0.31867472313004375,3.9879156466712935,3.6023731584232594,1.5765432916381443,0.7414039119424183,2.905745068428335,1.534973361011054,
9,Sansa9,22,0,gd,0,22,Fight,Simulator,0.8450859859522514,0.20737095103221692,0.7926290489677831,0.2531006212545446,0.5210453140631384,0.5103252892914875,0.33570823360890856,0.3188901486017862,0.6811098513982138,0.5091457662004761,0.9847046241177967,0.9293513264931378,0.7406200867900742,0.528208573628838,0.4778733210365316,0.16291191834549312,0.8370880816545069,0.9945408825552754,0.8631547525132043,0.13684524748679572,0.6857902259632259,0.3142097740367741,0.7298416574394334,0.20737095103221692,0.7926290489677831,0.26162421286763315,0.5949286393027347,0.9293513264931378,0.9293513264931378,5.091337840397653,0.3431319669011532,0.7638570097631884,0.4833736478551649,0.528208573628838,0.5030409473326848,0.5065166677146744,0.33252691055781686,0.6363925522708274,0.7613747280920566,0.08229112075445269,0.6322078377123708,0.19034368202301416,0.05184273775805423,0.06540605321690829,3.0,0.4934833322853256,0.3783236701263578,0.4237405671776279,0.611273418275637,0.3961564302216285,0.38426792349144806,1.9228525334849467,
10,Joanna10,5,0,gd,0,5,Fight,Simulator,0.3086786855164556,0.2635719962730998,0.7364280037269002,0.15079912984873234,0.8641637794882508,0.21565828130300424,0.419712420025529,0.14183553486527023,0.8581644651347298,0.38619260571621516,0.2617666239841624,0.20669152037439242,0.5076452472058798,0.8772561408315084,0.8811608489825579,0.9565617116673395,0.0434382883326605,0.765070483532307,0.8832173646446632,0.11678263535533684,0.40511144307768,0.59488855692232,0.4619655293830837,0.2635719962730998,0.7364280037269002,0.35790599344297047,0.3695957123345798,0.20669152037439242,0.20669152037439242,4.985046450540031,0.6862184506086909,0.641006816881284,0.6711479060328887,0.8772561408315084,0.8792084949070331,0.7099447690780006,0.4970193880934226,0.5057870667849844,0.8211633121819077,0.05640502746731998,0.8501859035444704,0.20529082804547694,0.06589299906827495,0.08947649836074262,4.0,0.29005523092199936,0.5929738820464701,0.596579245820268,0.6176549565174873,0.6579421056236313,0.6146299565721906,1.8036823967806435,
