Final Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block,orgTotal,startOrg,orgAlive,endTurn,forcedReproductionEvents,unableToActTurns,starveDeath,woundDeath,fightDeath,cullDeath,reproductionDeath,foodHarvest,foodReap,foodConsumed,foodShared,foodStolen,replenishedAmount,asexualReproductionEvents,sexualReproductionEvents,shareEvents,theftEvents,fightEvents,harvestEvents,reapEvents,consumeEvents,replenishEvents,wanderMoves,moveMoves,huntMoves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final,3800,200,200,10000,20,0,729,237,1351,1283,0,134504,4738,3.94E+09,1.75E+10,-5980,1132260,2800,0,14449,550,1351,938370,591,10873,2260,625547,79302,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,200,200,33,499,1,0,65,18,84,0,0,6886,375,4717,5138,515,0,0,0,27,31,84,60782,40,554,0,9743,258,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,380,200,35,999,2,0,20,10,135,13,0,6029,228,3718,5778,403,56613,140,0,31,47,135,57963,39,415,113,9304,274,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,560,200,25,1499,3,0,20,4,151,15,0,5928,213,3802,1057,944,56613,140,0,26,61,151,47720,33,406,113,9856,294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,740,200,32,1999,4,0,20,6,142,5,0,6914,218,4624,552,587,56613,140,0,39,65,142,64630,35,530,113,11357,318,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,920,200,41,2499,5,0,20,6,133,12,0,8022,202,5172,464,421,56613,140,0,42,52,133,73311,39,613,113,11919,474,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1100,200,76,2999,6,0,27,8,89,21,0,10740,415,8872,1321752,238,56613,140,0,309,31,89,83739,57,965,113,20492,2430,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1280,200,57,3499,7,0,68,21,54,56,0,10302,367,8980,6526345,126,56613,140,0,288,19,54,67374,49,1024,113,22360,5441,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1460,200,85,3999,8,0,62,13,40,37,0,9566,405,10175,1895646,149,56613,140,0,508,18,40,68834,45,1087,113,28524,6404,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1640,200,53,4499,9,0,69,28,50,65,0,8078,340,7881,1.10E+09,191,56613,140,0,366,22,50,47333,39,845,113,22188,5686,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1820,200,66,4999,10,0,74,20,40,33,0,8061,404,1.10E+09,5.66E+07,157,56613,140,0,388,16,40,61868,43,873,113,26800,6315,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2000,200,54,5499,11,0,59,24,63,46,0,7900,351,38053,2.54E+09,343,56613,140,0,486,29,63,47902,41,772,113,22484,5714,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2180,200,94,5999,12,0,45,15,46,34,0,7865,401,667398,7.79E+08,573,56613,140,0,857,29,46,51748,43,766,113,33374,5979,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2360,200,88,6499,13,0,38,12,62,74,0,7370,181,8.95E+07,6.10E+07,6774,56613,140,0,897,26,62,38100,23,520,113,32433,4886,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2540,200,117,6999,14,0,21,8,54,68,0,5515,113,4.51E+07,1.81E+09,-21155,56613,140,0,1306,25,54,24616,12,291,113,44129,4555,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2720,200,117,7499,15,0,41,8,34,97,0,4190,72,1.66E+09,3.21E+09,2701,56613,140,0,1315,13,34,28511,8,289,113,44310,5521,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2900,200,137,7999,16,0,27,6,30,97,0,4853,159,6.16E+08,1.00E+08,199,56613,140,0,1317,14,30,29157,13,273,113,51818,5984,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3080,200,156,8499,17,0,19,9,16,117,0,4489,81,6.07E+07,3.31E+08,-1355,56613,140,0,1730,6,16,18978,9,212,113,63923,5300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3260,200,149,8999,18,0,14,11,26,136,0,4374,106,3.22E+08,5.51E+07,134,56613,140,0,1588,14,26,26693,12,203,113,57273,4790,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3440,200,145,9499,19,0,11,7,37,129,0,3844,55,1.42E+07,6.75E+07,377,56613,140,0,1546,16,37,17249,7,123,113,56286,4707,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3620,200,123,9999,20,0,9,3,65,125,0,3578,52,3.67E+07,7.39E+09,1698,56613,140,0,1383,16,65,21862,4,112,113,46974,3972,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3800,200,200,10000,20,0,0,0,0,103,0,0,0,0,0,0,56613,140,0,0,0,0,0,0,0,113,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
number,name,age,generation,cycle,birthTurn,deathTurn,deathReason,parents,gene_Osteo_Pathway_Multiplier,gene_Osteo_Length_ECM,gene_Osteo_Width_ECM,gene_Osteo_Morphogenetic_Protein1,gene_Osteo_Morphogenetic_Protein2,gene_Osteo_Morphogenetic_Protein3,gene_Myo_Pathway_Multiplier,gene_Myo_Fast_Twitch_ECM,gene_Myo_Slow_Twitch_ECM,gene_Myo_Morphogenetic_Protein1,gene_Myo_Morphogenetic_Protein2,gene_Myo_Morphogenetic_Protein3,gene_Neuro_Pathway_Multiplier,gene_Neuro_3d_ECM,gene_Neuro_Morphogenetic_Protein_SensoryResolution,gene_Neuro_Morphogenetic_Protein_Hostile,gene_Neuro_Morphogenetic_Protein_Neutral,gene_Neuro_Morphogenetic_Protein_SelfProjectionPotential,gene_Neuro_Morphogenetic_Protein_MoodNegative,gene_Neuro_Morphogenetic_Protein_MoodPositive,gene_Neuro_Morphogenetic_Protein_Fight,gene_Neuro_Morphogenetic_Protein_Flight,weight,limbLength,boneDiameter,limbStructuralStrength,osteocyteGenesisEfficiency,muscleMass,muscleProteinSynthesis,myocyteGenesisEfficiency,muscleSpeed,muscleEndurance,muscleStrength,neuralMass,perceptionRadius,hostility,moodPositive,fightResponse,colonialCognitionCapacity,neurocyteGenesisEfficiency,eyeSize,cranialSize,facialLength,facialWidth,generalPhenotype,agreeability,speedOfLocomotion,fightingEffectiveness,resourceCarryingCapacity,crit,dodge,maxHp
3801,Jon3801,-9975,20,d,10001,26,Starvation,Simulator,0.88868228,0.938912528,0.061087472,0.710349763,0.225996047,0.691417052,0.02193825,0.083182687,0.916817313,0.943625231,0.938143474,0.205088959,0.928025508,0.631113962,0.790530015,0.940813603,0.059186397,0.823421287,0.365549187,0.634450813,0.440277449,0.559722551,0.32963833,0.938912528,0.061087472,15.36996857,0.681025485,0.205088959,0.205088959,5.040098134,0.405593197,0.679574529,0.496920308,0.631113962,0.710821988,0.576590697,0.632782387,0.456090802,0.727267624,0.103113945,0.719044806,0.181816906,0.234728132,3.842492142,3,0.423409303,0.579913854,3.069662552,0.636730994,0.473335471,0.544387727,1.941412521
