Final Stats
Block,orgTotal,startOrg,orgAlive,endTurn,forcedReproductionEvents,unableToActTurns,starveDeath,woundDeath,fightDeath,cullDeath,reproductionDeath,foodHarvest,foodReap,foodConsumed,foodShared,foodStolen,replenishedAmount,asexualReproductionEvents,sexualReproductionEvents,shareEvents,theftEvents,fightEvents,harvestEvents,reapEvents,consumeEvents,replenishEvents,wanderMoves,moveMoves,huntMoves,
Final,3800.0,200.0,200.0,10000.0,20.0,0.0,436.0,150.0,2777.0,237.0,0.0,129433.0,4545.0,80613.0,11560.0,11470.0,1082160.0,2800.0,0.0,477.0,1096.0,2777.0,1407948.0,695.0,8970.0,2160.0,207808.0,4859.0,0.0,
0,200.0,200.0,25.0,499.0,1.0,0.0,50.0,17.0,108.0,0.0,0.0,8360.0,623.0,5449.0,1681.0,758.0,0.0,0.0,0.0,36.0,42.0,108.0,52834.0,42.0,627.0,0.0,10840.0,254.0,0.0,
1,380.0,200.0,33.0,999.0,2.0,0.0,41.0,6.0,120.0,5.0,0.0,8178.0,287.0,4607.0,114.0,624.0,54108.0,140.0,0.0,13.0,42.0,120.0,68570.0,41.0,540.0,108.0,11740.0,225.0,0.0,
2,560.0,200.0,30.0,1499.0,3.0,0.0,31.0,10.0,129.0,13.0,0.0,7369.0,112.0,4162.0,2198.0,1114.0,54108.0,140.0,0.0,21.0,63.0,129.0,62690.0,26.0,457.0,108.0,10641.0,253.0,0.0,
3,740.0,200.0,28.0,1999.0,4.0,0.0,17.0,5.0,150.0,10.0,0.0,6661.0,259.0,4004.0,988.0,867.0,54108.0,140.0,0.0,30.0,48.0,150.0,52319.0,42.0,425.0,108.0,10516.0,262.0,0.0,
4,920.0,200.0,31.0,2499.0,5.0,0.0,26.0,9.0,134.0,8.0,0.0,7630.0,342.0,5006.0,232.0,444.0,54108.0,140.0,0.0,19.0,44.0,134.0,71462.0,45.0,582.0,108.0,10486.0,246.0,0.0,
5,1100.0,200.0,32.0,2999.0,6.0,0.0,24.0,5.0,139.0,11.0,0.0,6465.0,184.0,3971.0,295.0,447.0,54108.0,140.0,0.0,21.0,49.0,139.0,72106.0,35.0,440.0,108.0,10031.0,250.0,0.0,
6,1280.0,200.0,31.0,3499.0,7.0,0.0,25.0,8.0,136.0,12.0,0.0,6311.0,140.0,4201.0,357.0,415.0,54108.0,140.0,0.0,23.0,43.0,136.0,67158.0,31.0,447.0,108.0,10167.0,233.0,0.0,
7,1460.0,200.0,30.0,3999.0,8.0,0.0,14.0,5.0,151.0,11.0,0.0,7235.0,204.0,4454.0,729.0,587.0,54108.0,140.0,0.0,32.0,53.0,151.0,72483.0,37.0,496.0,108.0,10926.0,259.0,0.0,
8,1640.0,200.0,33.0,4499.0,9.0,0.0,15.0,9.0,143.0,10.0,0.0,6220.0,231.0,3992.0,440.0,505.0,54108.0,140.0,0.0,25.0,63.0,143.0,66883.0,38.0,445.0,108.0,9844.0,237.0,0.0,
9,1820.0,200.0,35.0,4999.0,10.0,0.0,26.0,4.0,135.0,13.0,0.0,6364.0,620.0,4516.0,1272.0,1041.0,54108.0,140.0,0.0,35.0,53.0,135.0,79357.0,38.0,466.0,108.0,11358.0,285.0,0.0,
10,2000.0,200.0,27.0,5499.0,11.0,0.0,16.0,10.0,147.0,15.0,0.0,5967.0,137.0,4214.0,220.0,373.0,54108.0,140.0,0.0,26.0,54.0,147.0,69732.0,34.0,441.0,108.0,10490.0,271.0,0.0,
11,2180.0,200.0,33.0,5999.0,12.0,0.0,9.0,11.0,147.0,7.0,0.0,5592.0,151.0,3657.0,549.0,423.0,54108.0,140.0,0.0,26.0,58.0,147.0,74156.0,30.0,380.0,108.0,9435.0,241.0,0.0,
12,2360.0,200.0,37.0,6499.0,13.0,0.0,17.0,9.0,137.0,13.0,0.0,5797.0,98.0,3391.0,188.0,393.0,54108.0,140.0,0.0,22.0,54.0,137.0,79649.0,30.0,385.0,108.0,9484.0,203.0,0.0,
13,2540.0,200.0,31.0,6999.0,14.0,0.0,21.0,4.0,144.0,17.0,0.0,6125.0,231.0,3790.0,308.0,443.0,54108.0,140.0,0.0,23.0,56.0,144.0,74967.0,37.0,450.0,108.0,10911.0,246.0,0.0,
14,2720.0,200.0,25.0,7499.0,15.0,0.0,18.0,7.0,150.0,11.0,0.0,5152.0,153.0,3055.0,553.0,798.0,54108.0,140.0,0.0,28.0,68.0,150.0,60253.0,33.0,327.0,108.0,9688.0,252.0,0.0,
15,2900.0,200.0,40.0,7999.0,16.0,0.0,24.0,7.0,129.0,5.0,0.0,6132.0,112.0,3725.0,143.0,331.0,54108.0,140.0,0.0,17.0,57.0,129.0,86016.0,29.0,422.0,108.0,10774.0,218.0,0.0,
16,3080.0,200.0,32.0,8499.0,17.0,0.0,14.0,7.0,147.0,20.0,0.0,5936.0,203.0,3481.0,177.0,425.0,54108.0,140.0,0.0,15.0,63.0,147.0,77459.0,33.0,401.0,108.0,10104.0,225.0,0.0,
17,3260.0,200.0,34.0,8999.0,18.0,0.0,9.0,3.0,154.0,12.0,0.0,5847.0,164.0,3550.0,114.0,508.0,54108.0,140.0,0.0,15.0,75.0,154.0,73378.0,36.0,404.0,108.0,9959.0,228.0,0.0,
18,3440.0,200.0,34.0,9499.0,19.0,0.0,22.0,3.0,141.0,14.0,0.0,5828.0,178.0,3558.0,705.0,498.0,54108.0,140.0,0.0,32.0,58.0,141.0,63456.0,33.0,403.0,108.0,10108.0,243.0,0.0,
19,3620.0,200.0,36.0,9999.0,20.0,0.0,17.0,11.0,136.0,14.0,0.0,6264.0,116.0,3830.0,297.0,476.0,54108.0,140.0,0.0,18.0,53.0,136.0,83020.0,25.0,432.0,108.0,10306.0,228.0,0.0,
20,3800.0,200.0,200.0,10000.0,20.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,54108.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,

number,name,age,generation,cycle,birthTurn,deathTurn,deathReason,parents,gene_Osteo_Pathway_Multiplier,gene_Osteo_Length_ECM,gene_Osteo_Width_ECM,gene_Osteo_Morphogenetic_Protein1,gene_Osteo_Morphogenetic_Protein2,gene_Osteo_Morphogenetic_Protein3,gene_Myo_Pathway_Multiplier,gene_Myo_Fast_Twitch_ECM,gene_Myo_Slow_Twitch_ECM,gene_Myo_Morphogenetic_Protein1,gene_Myo_Morphogenetic_Protein2,gene_Myo_Morphogenetic_Protein3,gene_Neuro_Pathway_Multiplier,gene_Neuro_3d_ECM,gene_Neuro_Morphogenetic_Protein_SensoryResolution,gene_Neuro_Morphogenetic_Protein_Hostile,gene_Neuro_Morphogenetic_Protein_Neutral,gene_Neuro_Morphogenetic_Protein_SelfProjectionPotential,gene_Neuro_Morphogenetic_Protein_MoodNegative,gene_Neuro_Morphogenetic_Protein_MoodPositive,gene_Neuro_Morphogenetic_Protein_Fight,gene_Neuro_Morphogenetic_Protein_Flight,weight,limbLength,boneDiameter,limbStructuralStrength,osteocyteGenesisEfficiency,muscleMass,muscleProteinSynthesis,myocyteGenesisEfficiency,muscleSpeed,muscleEndurance,muscleStrength,neuralMass,perceptionRadius,hostility,moodPositive,fightResponse,colonialCognitionCapacity,neurocyteGenesisEfficiency,eyeSize,cranialSize,facialLength,facialWidth,generalPhenotype,agreeability,speedOfLocomotion,fightingEffectiveness,resourceCarryingCapacity,crit,dodge,maxHp,
7601,Joanna7601,-9975,40,d,10001,26,Starvation,Simulator,0.12479735888877441,0.008179797164997726,0.9918202028350023,0.19887447432209915,0.20962226456547828,0.7131530490451887,0.9331735359257955,0.8039678544600984,0.19603214553990156,0.3151875742653899,0.5510079211992545,0.14897856399221132,0.45291609091418406,0.7142281470010561,0.4336354910354059,0.8419182736894171,0.15808172631058293,0.4161184890109,0.15737380105381504,0.842626198946185,0.26500997006176163,0.7349900299382384,0.4504262916875275,0.008179797164997726,0.9918202028350023,0.008247258063121451,0.27424890114206296,0.14897856399221132,0.14897856399221132,4.426058206307995,5.396533789264677,0.18034761835733815,3.6578050656288976,0.7142281470010561,0.573931819018231,0.49982301868580803,0.7784271729736205,0.3128539464589277,0.565173318005978,0.05032401010157601,0.5695525685121046,0.1412933295014945,0.0020449492912494316,0.002061814515780363,3.0,0.500176981314192,3.5915148402618717,3.250095734525051,1.4292259790749653,0.5356711102507921,2.572900263591512,1.5835437058505448,
7602,Arya7602,-9754,40,gd,10001,247,Fight,Simulator,0.695549993863723,0.5958713697569465,0.40412863024305345,0.21993750784298904,0.2046960841005998,0.22222555829946622,0.9494378642630225,0.13854901079201842,0.8614509892079816,0.18429412378161136,0.7409313861765152,0.37748122324327615,0.8106879940339067,0.49075937893661636,0.5240115692790623,0.1699695946976144,0.8300304053023856,0.9365542956925381,0.07215927128279409,0.9278407287172059,0.20333560751633517,0.7966643924836648,0.4324759541299283,0.5958713697569465,0.40412863024305345,1.4744596773521688,0.40759182759410023,0.37748122324327615,0.37748122324327615,5.10088235731709,0.3670355033864226,0.7001277338864131,0.4780662468864194,0.49075937893661636,0.5073854741078394,0.3105322164951021,0.7093000538269112,0.2519758444252153,0.7136568373145773,0.09007644378154518,0.6105211557112084,0.17841420932864432,0.14896784243923664,0.3686149193380422,3.0,0.6894677835048979,0.47246518967909595,0.6093494965854951,0.6099002509655548,0.36806953420246225,0.4376666378535514,1.8661835428975786,
7603,Rickard7603,-9812,40,gd,10001,189,Fight,Simulator,0.28941003305413293,0.43375272326475345,0.5662472767352466,0.8600615449516713,0.5954087816379096,0.9747933892162797,0.3200502874647523,0.662375695468477,0.33762430453152303,0.0221653982220662,0.46120583372170676,0.43071192791827684,0.03207354148344432,0.25707592441305904,0.768698778106707,0.968965914189293,0.03103408581070699,0.2477697437407046,0.9631141034786515,0.03688589652134855,0.22960205697034008,0.7703979430296599,0.4450655692718765,0.43375272326475345,0.5662472767352466,0.7660129082926398,0.6018167563828253,0.43071192791827684,0.43071192791827684,4.3273052688057225,1.537862437824466,0.3686535123271077,1.1481261293253466,0.25707592441305904,0.512887351259883,0.7330200044169861,0.1469809104672038,0.5113108019726156,0.2524228340768818,0.0035637268314938136,0.38265509266838243,0.06310570851922045,0.10843818081618836,0.19150322707315995,2.0,0.2669799955830139,1.1786149920593443,1.1355353686070913,0.6580162104117079,0.19280694330979428,0.8500123091428277,1.6442285840066804,
7604,Lysa7604,-9980,40,gd,10001,21,Starvation,Simulator,0.5919168856697717,0.43319016161111223,0.5668098383888878,0.45924291273852724,0.15723361808349268,0.7964965623467903,0.2886501940410464,0.5807913033276125,0.41920869667238747,0.061664352604020034,0.025159920947928405,0.019367124246622902,0.5119684726939643,0.7292239519871544,0.18004071418001621,0.11567780473630995,0.88432219526369,0.5500179159248327,0.715125697263449,0.284874302736551,0.27385516216077943,0.7261448378392206,0.33630502330227297,0.43319016161111223,0.5668098383888878,0.7642601314797589,0.5193613729016707,0.019367124246622902,0.019367124246622902,3.866756987280982,29.98851537955547,0.28592817253046593,20.087652977213803,0.7292239519871544,0.4546323330835853,0.45770087549993976,0.5070491273618527,0.3745905181149115,0.6396209339559935,0.05688538585488492,0.5471266335197894,0.15990523348899838,0.10829754040277806,0.19106503286993973,3.0,0.5422991245000602,19.870459533283064,17.848376504803497,7.499942827786284,0.5469179639903659,13.429279010185498,1.4810012486791793,
7605,Lysa7605,-9983,40,gd,10001,18,Fight,Simulator,0.9804362379985387,0.36092018807503734,0.6390798119249627,0.01794876262801881,0.6039238750626716,0.2416066741293702,0.6288182844551025,0.6577444652452035,0.34225553475479653,0.5212281939216804,0.196264880811042,0.3859408079505263,0.0053497190046595255,0.7252340468711348,0.9967882971355118,0.775894880365853,0.22410511963414703,0.849214464078081,0.659800987772224,0.34019901222777604,0.1587733915413866,0.8412266084586134,0.5031623260925252,0.36092018807503734,0.6390798119249627,0.5647497876484552,0.5648703575634275,0.3859408079505263,0.3859408079505263,5.318216851532283,1.704262549322122,0.3568172924867065,1.2551141303769835,0.7252340468711348,0.8610111720033233,0.6089239670345192,0.5327165295494554,0.34843855514195926,0.7872242554746078,5.944132227399473E-4,0.8241177137389656,0.19680606386865196,0.09023004701875934,0.1411874469121138,4.0,0.39107603296548077,1.27190114677478,1.203343181960297,0.683843678591201,0.5439255351533511,1.029242609567637,1.9612272074394836,
7606,Joanna7606,-9978,40,gd,10001,23,Starvation,Simulator,0.2760872339531222,0.6482693537947016,0.35173064620529837,0.038210020443779524,0.63355863305173,0.2911680224586375,0.7548214661042495,0.6185952100214311,0.38140478997856886,0.7276011373158596,0.3980753747489697,0.1268597432911278,0.27548309707538887,0.7501606753664762,0.5035999662620817,0.7648272112896478,0.2351727887103522,0.836035492840618,0.6231354356595502,0.3768645643404498,0.6797611411691599,0.32023885883084013,0.3546386502064512,0.6482693537947016,0.35173064620529837,1.8430846466995638,0.30302222877207824,0.1268597432911278,0.1268597432911278,4.89207129661559,4.876213635414898,0.2965564410827552,3.349661237304184,0.7501606753664762,0.626880320814279,0.5969906617372995,0.563512619853463,0.5982500810555391,0.7930980841035471,0.030609233008376542,0.7099892024589131,0.19827452102588677,0.1620673384486754,0.46077116167489096,3.0,0.40300933826270047,3.419106464884855,3.2702223809897695,1.438750268137088,0.5626205065248572,2.4669444787648556,1.7419009194653483,
7607,Edmure7607,-8479,40,grrrd,10001,1522,Starvation,Simulator,0.24936501583194837,0.39327470651676344,0.6067252934832366,0.6847000234655676,0.5797594025569138,0.42555077264546615,0.9839691976019254,0.6909005882976734,0.3090994117023266,0.4992177880813794,0.9015837576595298,0.9157968885048693,0.22656790519962267,0.1988511270415808,0.44356785213123595,0.4160158962895265,0.5839841037104735,0.367402750429484,0.6791503706326028,0.32084962936739725,0.7558366595879408,0.24416334041205923,0.6504238694342037,0.39327470651676344,0.6067252934832366,0.6481923709805406,0.43774804606636886,0.9157968885048693,0.9157968885048693,4.667877968450646,0.754425568562084,0.5113319039698409,0.6733943470313363,0.1988511270415808,0.3212094895864084,0.5237915667305324,0.25985037820448903,0.6939036269254812,0.2831269387355324,0.025174211688846964,0.3021682141609704,0.0707817346838831,0.09831867662919086,0.16204809274513515,2.0,0.4762084332694676,0.6757892574973938,0.6948437850217971,0.5595312289510139,0.1491383452811856,0.5002389534253244,1.7102667420686204,
7608,Eddard7608,-9964,40,gd,10001,37,Fight,Simulator,0.6651484199799046,0.917197520581992,0.082802479418008,0.9803300213222652,0.39495191721824463,0.6909274166847579,0.4483711377007916,0.3937909280609654,0.6062090719390346,0.8091243147657307,0.824593181939282,0.8504313694344882,0.8646814286279593,0.07200220457685569,0.18615700499598564,0.21919081810838448,0.7808091818916155,0.8858174090717397,0.11407130051868519,0.8859286994813148,0.997909596372479,0.002090403627520998,0.5294426846140469,0.917197520581992,0.082802479418008,11.076933046313087,0.6793012390370153,0.8504313694344882,0.8504313694344882,4.748152642375942,0.46304845072074985,0.6876165044375191,0.5379044686263396,0.07200220457685569,0.12907960478642067,0.3333155296567674,0.47896545202908525,0.71254231759316,0.4789098068242977,0.09607571429199548,0.30399470580535914,0.11972745170607442,0.229299380145498,2.7692332615782718,2.0,0.6666844703432326,0.6256413210835765,2.3703177661323465,0.6540467656102241,0.054001653432641766,0.43509476519993157,1.8411765319016509,
7609,Tommen7609,-9987,40,gd,10001,14,Fight,Simulator,0.5016927515190596,0.5854991194913891,0.4145008805086109,0.03507751170216045,0.04158051692658549,0.5530770035338971,0.5786643892565508,0.7198776023282382,0.28012239767176184,0.8744413124998409,0.20847374259986584,0.11880351869905781,0.8231330416702858,0.43730912133477273,0.9098411250403614,0.7183517562146748,0.28164824378532516,0.03528666168172845,0.6538110657688061,0.3461889342311939,0.3671264245096961,0.6328735754903039,0.31546007970579387,0.5854991194913891,0.4145008805086109,1.4125401103441706,0.32662410704015243,0.11880351869905781,0.11880351869905781,4.416937257184463,6.059396305859982,0.22634943801419383,4.115047349911387,0.43730912133477273,0.6735751231875671,0.5930407054958702,0.3917490277829833,0.48388613168306976,0.2362978915082506,0.09145922685225398,0.4549365073479088,0.05907447287706265,0.14637477987284728,0.35313502758604265,2.0,0.4069592945041298,4.173278934364782,3.877364848533665,1.6730713770201908,0.3279818410010795,2.891513236576881,1.6116735303589564,
7610,Bran7610,-9929,40,gd,10001,72,Starvation,Simulator,0.8878495408909146,0.7973203733445983,0.20267962665540173,0.04083513235190195,0.6734302042885779,0.4820714584596041,0.2328253376123851,0.061461750024330186,0.9385382499756698,0.7421055643007946,0.5219288710498985,0.24190296936530908,0.8932666045799347,0.5042339536826705,0.9243535889871177,0.07840674335057107,0.9215932566494289,0.14970508187750742,0.6271844707765108,0.37281552922348915,0.34019894388134053,0.6598010561186595,0.34751749834771417,0.7973203733445983,0.20267962665540173,3.9338950169876306,0.5944071753763825,0.24190296936530908,0.24190296936530908,4.46837628685278,0.25407604621634017,0.7063264897722162,0.40482619406829884,0.5042339536826705,0.7142937713348941,0.4263978035317705,0.43852474145307985,0.4170677374603429,0.326969517780089,0.09925184495332608,0.5206316445574916,0.08174237944502225,0.19933009333614957,0.9834737542469076,3.0,0.5736021964682295,0.4459994219016359,0.9676549111391854,0.6049621898410082,0.3781754652620029,0.4233914363550915,1.720678435727496,
